Categoria,Produto,Tag,Descricao,Preco_Final,Preco_Revendedor,Comissao_Pts,Pontos_Graduacao,Quantidade_Padrao
Lançamento,OUD ROYALE,Novidade,,48,18,9,18,1
Lançamento,RHINO ROYALE,Novidade,,48,18,9,18,1
Lançamento,SUBLIME,Novidade,,48,18,9,18,1
Lançamento,AALIYAH,Novidade,,48,18,9,18,1
Lançamento,Melatozon,,A melatonina em gotas da Ozonteck.,159.8,79.9,79.9,79.9,1
Nutracêuticos,XBOOSTER,,"O Xbooster é um suplemento alimentar composto de arginina, taurina e Cafeína que auxilia no aumento...",139.9,69.95,69.95,69.95,1
Nutracêuticos,BORYSLIM,,,139.9,69.95,69.95,69.95,1
Nutracêuticos,NXCAP OZON,,O NX CAP OZON é um suplemento alimentar de um mix de óleos e vitamina E.\nA vitamina E é um antioxid...,159.92,79.96,79.96,79.96,1
Nutracêuticos,ÔMEGA 3,,O Omega 3 é um suplemento alimentar em cápsula composto de óleo de peixe.\nOs ácidos graxos ômega 3...,159.9,79.95,79.95,79.95,1
Nutracêuticos,K2MK7 e D3,,,159.9,79.95,79.95,79.95,1
Nutracêuticos,DREAMBLISS,,,175.9,87.95,87.95,87.95,1
Nutracêuticos,TRI MAGNÉSIO,,"Power Tri-Magnésio é um suplemento alimentar, exclusivo Ozonteck, desenvolvido com uma combinação si...",159.9,79.95,79.95,79.95,1
Nutracêuticos,VITA OZON PLUS,,,139.9,69.95,69.95,69.95,1
Nutracêuticos,VIRTUOUS CAPS,,,139.9,69.95,69.95,69.95,1
Nutracêuticos,LUMINOUS VITA,,,159.9,79.95,79.95,79.95,1
Nutracêuticos,OZON CREAT UNIDADE,,,10,3.33,3.33,3.33,1
Bem Estar,SOFH D,,,119.9,59.95,59.95,59.95,1
Bem Estar,ÓLEO SOFH,,"O Óleo Sofh Ozonizado é um produto inovador e exclusivo da Ozonteck, especialmente formulado para o...",89.8,44.9,44.9,44.9,1
Bem Estar,SABONETE OX3,,O Sabonete Ozonizado OX3 da Ozonteck é uma fórmula inovadora que combina o poder do Ozônio com o toq...,99.9,49.95,49.95,49.95,1
Bem Estar,LIFE SHII,,Life Shii Ozonizado é um gel de massagem corporal exclusivo e Ozonizado que proporciona sensação de...,159.9,79.95,79.95,79.95,1
Bem Estar,HIDRATANTE SPEED BLACK,,A Loção Corporal Ozonizada Speed Black da Ozonteck é a combinação perfeita de hidratação profunda e...,79.9,39.95,39.95,39.95,1
Bem Estar,HIDRATANTE VG SEXY,,A Loção Corporal Ozonizada VG Sexy da Ozonteck é a combinação perfeita de hidratação profunda e trat...,79.9,39.95,39.95,39.95,1
Bem Estar,ESFOLIANTE OXYLUSH,,O Esfoliante Facial Ozonizado Oxy Lush da Ozonteck é a escolha perfeita para quem busca cuidados ava...,119.9,59.95,59.95,59.95,1
Bem Estar,SÉRUM FACIAL,,"O Sérum Facial Ozonizado Lumino3 é a solução perfeita para quem deseja uma pele radiante, hidratada...",175.9,87.95,87.95,87.95,1
Bem Estar,PURE HOT,,"O Pure Hot Ozonizado é um gel de massagem corporal inovador e exclusivo da Ozonteck, que combina a e...",59.9,29.95,29.95,29.95,1
Bem Estar,OZON FRESH,,"Creme dental inovador com ozônio para saúde bucal, combate bactérias e inflamações. Com o avanço...",59.9,29.95,29.95,29.95,1
Bem Estar,HAYDEK,,O Haydek Ozonizado da Ozonteck é um creme antisséptico para os pés desenvolvido através da combinaçã...,159.9,79.95,79.95,79.95,1
Bem Estar,OZON TRIX,,"Ozon Trix Ozonizado da Ozonteck foi cuidadosamente desenvolvido para tratar, proteger e clarear as...",79.9,39.95,39.95,39.95,1
Perfumes,CAPADÓCIA,,"Capadócia: um fougère aromático clássico, que combina elegância e modernidade. CAPADÓCIA: família...",45,15,7.5,15,1
Perfumes,CINDERELA,,"""CINDERELA: uma fragrância ousada e sofisticada, ideal para mulheres marcantes."" C...",45,15,7.5,15,1
Perfumes,DG RED,,"""DG RED: fragrância floral e sofisticada para mulheres que valorizam elegância."" DG RED: Família...",45,15,7.5,15,1
Perfumes,FERA,,"""FERA: Fragrância oriental amadeirada, sensual e provocante, ideal para homens ousados."" FERA: Fa...",45,15,7.5,15,1
Perfumes,MAXIMUM,,"""Maximum: Fragrância amadeirada com notas frescas, ideal para homens sofisticados."" MAXIMUM: Ama...",45,15,7.5,15,1
Perfumes,PRESIDENTE,,PRESIDENTE: Fragrância sofisticada amadeirada com toques especiados sedutores. PRESIDENTE: Famíl...,45,15,7.5,15,1
Perfumes,SENTIMENTO,,"Sentimento é uma fragrância masculina marcante, com notas amadeiradas intensas. SENTIMENTO: Famí...",45,15,7.5,15,1
Perfumes,VIP GIRL VIP,,"VIP Girl: fragrância floral frutada, audaz e elegante, ideal para noites glamorosas. VIP GIRL VI...",45,15,7.5,15,1
Perfumes,SOBERANO,,Soberano: Aroma amadeirado aquático para homens confiantes e invencíveis. SOBERANO: Família Olfa...,45,15,7.5,15,1
Perfumes,VG SEXY,,"VG Sexy: fragrância sedutora e envolvente, exala poder, charme e sensualidade. VG...",45,15,7.5,15,1
Perfumes,SPEED BLACK,,"Speed Black: Fragrância sofisticada e versátil, perfeita para o homem moderno. SPEED BLACK: Famí...",45,15,7.5,15,1
Perfumes,ALEM,,"""Alem: perfume oriental amadeirado, com notas de cítricos, jasmim e âmbar."" ALEM Família Olfativa...",45,15,7.5,15,1
Perfumes,VENUM,,Venum: fragrância inovadora que eleva autoconfiança com notas amadeiradas e cítricas. VENUM: Fam...,45,15,7.5,15,1
Perfumes,ANGELICAL,,"""Angelical: fragrância ultrafeminina que equilibra doçura e poder celestial."" ANGELICAL: Família...",45,15,7.5,15,1
Perfumes,BLUE SKY,,Capte a leveza de um dia de verão mediterrâneo com Blue Sky Floral Frutal. Blue Sky Família Olfat...,45,15,7.5,15,1
Perfumes,MADAME VI,,"MADAME VI: Família olfativa âmbar floral No rastro de MADAME VI, um reflexo olfativo da liberdade...",45,15,7.5,15,1
Perfumes,DOÇURINHA,,"""Fragrância doce e vibrante, com notas de morango, mandarina e baunilha."" Doçurinha Família Olfat...",45,15,7.5,15,1
Perfumes,AVENTURA,,"Experimente o frescor vibrante de limão e abacaxi, com um toque aromático final Aventura Família...",45,15,7.5,15,1
Perfumes,303 MEN,,"Perfume 303 Men é amadeirado aromático, clássico e versátil para o dia a dia. 303 MEN: Família Ol...",45,15,7.5,15,1
Perfumes,GOUF TRADICIONAL,,GOUF Tradicional combina frescor e profundidade para homens elegantes e livres. GOUF...,45,15,7.5,15,1
Perfumes,SOUL,,Soul: Uma fragrância fougère aromática que une frescor e virilidade. SOUL: Família...,45,15,7.5,15,1
Perfumes,EASY LINE,,"""Fragrância amadeirada e sofisticada, ideal para homens que valorizam elegância."" EASY LINE: Fam...",45,15,7.5,15,1
Perfumes,303 FOR WOMAN,,"Perfume 303 For Woman é floral amadeirado, sofisticado e marcante. Perfume 303 For Woma...",45,15,7.5,15,1
Perfumes,MAX BOSS,,MAX BOSS: Âmbar Amadeirado Max Boss é ideal para homens que apreciam fragrâncias luxuosas e sofis...,45,15,7.5,15,1
Perfumes,303 VIP MEN,,"O 303 VIP Men é um perfume âmbar amadeirado, inspirado na vida noturna de Nova York. 303 VIP MEN:...",45,15,7.5,15,1
Perfumes,FANTASTICA BRY,,"""Fantástica Bry: Um perfume doce e envolvente com notas frutadas e gourmand."" FANTASTI...",45,15,7.5,15,1
Perfumes,GOUF BLUE,,"GOUF BLUE equilibra frescor e elegância, perfeito para homens livres e vitais."" GOUF BLUE: Famíl...",45,15,7.5,15,1
Perfumes,FAMMA,,"""Famma: Glamour moderno com notas de manga, jasmim, baunilha e sândalo."" FAMMA Família Olfativa:...",45,15,7.5,15,1
Perfumes,SUPREMO ELIXIR,,,45,15,7.5,15,1
Linha Capilar,AMPOLA SOFT HAIR,,A Ampola Mágica Ozonizada Soft Hair da Ozonteck é um poderoso reconstrutor capilar instantâneo e de...,79.9,39.95,39.95,39.95,1
Linha Capilar,SHAMPOO OZON-KESEN,,Shampoo Ozon-Kesen: Restauração pós-química com proteção e hidratação. Shampoo ozon-kesen Ozoniz...,109.9,54.95,54.95,54.95,1
Linha Capilar,MÁSCARA OZON-KESEN,,"""Máscara Ozon-Kesen: Revitaliza e reconstrói cabelos pós-química intensamente."" Más...",119.9,59.95,59.95,59.95,1
Linha Capilar,CONDICIONADOR OZON-KESEN,,"""Condicionador Ozon-Kesen: nutre e protege cabelos pós-química, com brilho intenso.""...",109.9,54.95,54.95,54.95,1
Linha Capilar,ÓLEO DE AÇAÍ,,O Óleo Capilar Ozonizado Açaí Fusion da Ozonteck é um poderoso e exclusivo reparador de pontas ozoni...,105,52.5,52.5,52.5,1
Linha Capilar,OZON CREAM,,O Fluido Multifuncional Ozonizado Ozon Cream 20 em 1 é um produto exclusivo da Ozonteck produzido co...,159.9,79.95,79.95,79.95,1
Linha Capilar,OZON-FOR MEN,,O Shampoo 2 em 1 Ozonizado Ozon For Men da Ozonteck é fruto da combinação única e excepcional de uma...,109.9,54.95,54.95,54.95,1
Linha Capilar,TÔNICO CAPILAR,,"O Tônico Capilar Ozonizado Revita Tonic Ozonteck é uma fórmula revolucionária e exclusiva, que combi...",119.9,59.95,59.95,59.95,1
Linha Capilar,MÁSCARA OZON-BLOND,,"A linha Ozon Blond da Ozonteck é ideal para cabelos loiros, descoloridos e grisalhos. Uma formulação...",119.9,59.95,59.95,59.95,1
Linha Capilar,SHAMPOO OZON-BLOND,,"A linha Ozon Blond da Ozonteck é ideal para cabelos loiros, descoloridos e grisalhos. Uma formulação...",109.9,54.95,54.95,54.95,1
Linha Capilar,PRO KESEN,,"O Reestruturador Ozonizado Pro Kesen é uma máscara capilar redutora de volume, exclusiva da Ozonteck...",499.9,249.95,249.95,249.95,1
Linha Capilar,SHAMPOO MASTER CURLS,,"Shampoo de Cachos Ozonizado hidrata profundamente, fortalece e define. Shampoo de Cachos Ozonina...",109.9,54.95,54.95,54.95,1
Linha Capilar,MÁSCARA MASTER CURLS,,"""Máscara MASTER CURLS PRO: Hidrata, define cachos e protege contra frizz."" Máscara MASTER CURLS P...",119.9,59.95,59.95,59.95,1
Linha Capilar,ATIVADOR MASTER CURLS,,"""Ativador de Cachos Ozonizado: define, hidrata e protege seus cachos naturais. Ativador de Cachos...",119.9,59.95,59.95,59.95,1
Linha Capilar,SHAMPOO OZON MEL,,"Shampoo OZON MEL: Limpa, nutre e revitaliza cabelos opacos e frágeis. SHAMPOO MEL & OZÔNIO OZONIZ...",109.9,54.95,54.95,54.95,1
Linha Capilar,CONDICIONADOR MEL & OZÔNIO,,Condicionador MEL & OZÔNIO: hidratação intensa e revitalização para cabelos radiantes. Transforme...,109.9,54.95,54.95,54.95,1
Linha Capilar,SHAMPOO KIDS,,A linha Kids Ozon Splash da Ozonteck é a resposta para uma rotina capilar divertida e saudável! Uma...,109.9,54.95,54.95,54.95,1
Linha Capilar,CONDICIONADOR KIDS,,A linha Kids Ozon Splash da Ozonteck é a resposta para uma rotina capilar divertida e saudável! Uma...,109.9,54.95,54.95,54.95,1
Linha Capilar,LEAVE IN KIDS,,A linha Kids Ozon Splash da Ozonteck é a resposta para uma rotina capilar divertida e saudável! Uma...,119.9,59.95,59.95,59.95,1
Linha Capilar,MÁSCARA MEL & OZÔNIO,,Máscara Mel & Ozônio: Hidratação profunda e revitalização capilar intensa. Máscara Capilar Mel &...,119.9,59.95,59.95,59.95,1
Acessórios,CAMISETA G PRETA,,"Camiseta Dry Fit G preta: leve, protege contra o sol, mantém a pele fresca e seca. Nossas camiseta...",160,80,80,80,1
Acessórios,Copo Térmico Ozonizou,,Copo Térmico Ozonizou – Mantenha sua bebida na temperatura ideal com estilo! O Copo Térmico Ozoni...,120,60,0,0,1
Acessórios,Squeeze Turquesa 500ml,,A Garrafa de Água Squeeze é perfeita para quem busca praticidade e estilo na hora de se hidratar. Fe...,30,15,3,3,1
Acessórios,Squeeze Rosa 500ml,,A Garrafa de Água Squeeze é perfeita para quem busca praticidade e estilo na hora de se hidratar. Fe...,30,15,3,3,1
Acessórios,Caixinha de Presente,,"Cada caixinha comporta 3 perfumes, sendo uma excelente opção para presentear em datas comemorativas....",10,5,2.5,2.5,1
